Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent in Galigamuwa,Kegalle,"Udahawatta, Asideniya, Galigamuwa Town",4,2,2720.0 sqft,160.0 perches,"Rs 33,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,2,"2,300.0 sqft",25.0 perches,"Rs 37,000"
House for Rent in Matale,Matale,"pallepola, matale",2,1,600.0 sqft,10.0 perches,"Rs 16,000"
House Rent Colombo,Colombo,Nugegoda.,3,1,"1,000.0 sqft",23.0 perches,"Rs 40,000"
House for Rent in Nuwaraeliya,Nuwara Eliya,Nuwara Eliya City,2,1,700.0 sqft,10.0 perches,"Rs 20,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,2,"2,300.0 sqft",25.0 perches,"Rs 37,000"
House For Rent In Hambantota,Hambantota,"Mayurapura, Hambantota",2,1,1200.0 sqft,12.0 perches,"Rs 20,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Jayanthipura, Polonnaruwa",3,1,"2,200.0 sqft",22.0 perches,"Rs 32,000"
House Rent Colombo,Colombo,Baththaramulla,2,1,"1,178.0 sqft",8.0 perches,"Rs 35,000"
Upstair House For Rent In Rathnapura Eheliyagoda,Ratnapura,"Rathnapura, Eheliyagoda",2,1,"1,350.0 sqft",10.0 perches,"Rs 23,000"
House For Rent In Hambantota,Hambantota,"Ambalantota, Hambantota",3,1,"2,400.0 sqft",25.0 perches,"Rs 34,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,1,600.0 sqft,9.0 perches,"Rs 18,000"
House Rent in Matara,Matara,"Matara City, Matara",2,1,"1,500.0 sqft",18.0 perches,"Rs 27,000"
House for Rent Yatiyanthota,Kegalle,"Garagoda,Yatiyanthota",3,1,"3,000 sqft",12.0 perches,"Rs 27,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",5,2,"2,500.0 sqft",24.0 perches,"Rs 45,000"
House For Rent Gampaha,Gampaha,"Gampaha City, Gampaha",2,1,600.0 sqft,7.0 perches,"Rs 20,000"
House for Rent in Padiyathalawa,Ampara,"Padiyathalawa,Ampara",5,2,"5,700.0 sqft",28.0 perches,"Rs 42,000."
House for Rent,Polonnaruwa,"Bendiwewa, Polonnaruwa",3,1,"2,000.0 sqft",21.0 perches,"Rs 32,000"
House for Rent in Gampaha Bemmulla,Gampaha,"Gampaha City, Gampaha",2,1,850.0 sqft,13.0 perches,"Rs 25,000"
House for Rent in Padiyathalawa,Ampara,"Padiyathalawa,Ampara",3,1,"2,800.0 sqft",25.0 perches,"Rs 24,000"
House for Rent Yatiyanthota,Kegalle,"Yatiyanthota Road,Kabulumulla",3,1,"2,000 sqft",10.0 perches,"Rs 30,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",2,1,800.0 sqft,12.0 perches,"Rs 23,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,1,"2,000.0 sqft",22.0 perches,"Rs 34,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,1,650.0 sqft,9.0 perches,"Rs 18,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",4,2,"2,400.0 sqft",25.0 perches,"Rs 42,000"
House for Rent in Palmadulla,Ratnapura,"Palmadulla,Rathnapura",2,1,"1,200.0 sqft",20. 0 perches,"Rs 19,000"
House for Rent in Galle,Galle,"Galle City, Galle",3,2,"2,000.0 sqft",20.0 perches,"Rs 36,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",5,2,"2,700.0 sqft",28.0 perches,"Rs 42,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",2,1,1000.0 sqft,10.0 perches,"Rs 20,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,2,"1,000.0 sqft",12.0 perches,"Rs 30,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",3,1,"2,000.0 sqft",20.0 perches,"Rs 30,000"
House with Land for Rent in Galle,Galle,"Akuressa Road, Melegoda, Wanchawela, Galle",4,2,"3,000.0 sqft",50.0 perches,"Rs 45,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",2,1,1200.0 sqft,12.0 perches,"Rs 20,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",4,2,"2,500.0 sqft",27.0 perches,"Rs 38,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,1,600.0 sqft,9.0 perches,"Rs 18,000"
House Rent Colombo,Colombo,Hokanadra South,2,1,"1,100.0 sqft",12.0 perches,"Rs 36,000"
House for Rent,Polonnaruwa,"Jayanthipura, Polonnaruwa",4,1,"2,300.0 sqft",26.0 perches,"Rs 37,000"
House for Rent in Trincomalee,Trincomalee,Nilaveli Trincomalee,2,1,600.0 sqft,8.0 perches,"Rs 17,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",4,1,"2,200.0 sqft",24.0 perches,"Rs 36,000"
House For Rent In Hambantota,Hambantota,Hambantota City,2,1,1000.0 sqft,10.0 perches,"Rs 20,000"
House For Rent In Nuwara Eliya,Nuwara Eliya,"Nuwara Eliya City, Nuwara Eliya",2,1,600.0 sqft,9.0 perches,"Rs 18,000"
House For Rent In Nuwara Eliya,Nuwara Eliya,Nuwara Eliya City,2,2,"1,200.0 sqft",13.0 perches,"Rs 28,000"
House for Rent in Polonnaruwa,Polonnaruwa,"208/B, Bendiwewa, Jayanthipura, Polonnaruwa",5,2,"2,800.0 sqft",34.0 perches,"Rs 50,000"
House for Rent in Nuwaraeliya,Nuwara Eliya,"Nuwara Eliya City, Nuwara Eliya",2,1,650.0 sqft,9.0 perches,"Rs 18,000"
House for Rent in Kurunegala,Kurunegala,"Illapugedara para,Kurunegala",4,1,"3,200.0 sqft",50.0 perches,"Rs 45,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,1,700.0 sqft,10.0 perches,"Rs 20,000"
Arambekade House for Rent,Kandy,"Arambekade, Girandeniya Rd",2,1,800.0 sqft,5.0 perches,"Rs 20,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,1,850.0 sqft,11.0 perches,"Rs 24,000"
House Rent in Matara,Matara,"Matara City, Matara",3,1,"1,800.0 sqft",22.0 perches,"Rs 33,000"
House for Rent Balangoda,Ratnapura,"Balangoda,Rathnapura",5,2,"3,000.0 sqft",90.0 perches,"Rs 48,000"
House for Rent Ampara,Ampara,"Ampara,Sangaman Kanda",3,2,"4,500.0 sqft",38.0 perches,"Rs 34,000"
House Rent in Matara,Matara,Unella palatuwa Matara,3,1,"1,600.0 sqft",20.0 perches,"Rs 31,000"
House for Rent in Nuwara Eliya City,Nuwara Eliya,Nuwara Eliya City,3,1,"2,000.0 sqft",20.0 perches,"Rs 34,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,1,"2,000.0 sqft",24.0 perches,"Rs 35,000"
House for Rent in Galle,Galle,"Galle City, Galle",3,2,"2,000.0 sqft",30.0 perches,"Rs 40,000"
House for Rent in Gampaha,Gampaha, Gampaha,4,1,"2,500.0 sqft",30.0 perches,"Rs 42,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,1,"2,000.0 sqft",20.0 perches,"Rs 28,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",4,2,"2,500.0 sqft",26.0 perches,"Rs 38,000"
